Player,Position,Age,Team,Games Played,Games Started,Min Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,General Position,Numbered Position,A:T Ratio,Blocks Per Game,TO:MP Ratio
Aaron Brooks,PG,32,IND,65,0,894,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,G,1,1.89393939394,0.138461538462,0.0738255033557
Aaron Gordon,SF,21,ORL,80,72,2298,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,65,40,89,172,1019,F,3,1.68539325843,0.5,0.038729329852
Al Horford,C,30,BOS,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952,C,5,2.93043478261,1.26470588235,0.0524395804834
Al Jefferson,C,32,IND,66,1,931,235,471,0.499,0,1,0.0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535,C,5,1.72727272727,0.242424242424,0.0354457572503
Alan Williams,C,24,PHO,47,0,708,138,267,0.517,0,1,0.0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346,C,5,0.621621621622,0.68085106383,0.0522598870056
Alec Burks,SG,25,UTA,42,0,653,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283,G,2,0.857142857143,0.119047619048,0.0535987748851
Alex Abrines,SG,23,OKC,68,6,1055,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406,G,2,1.21212121212,0.117647058824,0.0312796208531
Alex Len,C,23,PHO,77,34,1560,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,38,98,102,242,613,C,5,0.43137254902,1.27272727273,0.0653846153846
Alexis Ajinca,C,28,NOP,39,15,584,89,178,0.5,0,4,0.0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207,C,5,0.387096774194,0.564102564103,0.0530821917808
Al-Farouq Aminu,SF,26,POR,61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,F,3,1.05319148936,0.72131147541,0.0530174844896
Allen Crabbe,SG,24,POR,79,7,2254,303,647,0.468,134,302,0.444,169,345,0.49,0.572,105,124,0.847,19,207,226,94,54,20,62,171,845,G,2,1.51612903226,0.253164556962,0.0275066548358
Amir Johnson,PF,29,BOS,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520,F,4,1.81818181818,0.775,0.0478855721393
Andre Drummond,C,23,DET,81,81,2409,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,770,1115,90,124,89,152,237,1105,C,5,0.592105263158,1.0987654321,0.063096720631
Andre Iguodala,SF,33,GSW,76,0,1998,219,415,0.528,64,177,0.362,155,238,0.651,0.605,72,102,0.706,51,253,304,261,76,39,58,97,574,F,3,4.5,0.513157894737,0.029029029029
Andre Roberson,SF,25,OKC,79,79,2376,215,463,0.464,45,184,0.245,170,279,0.609,0.513,47,111,0.423,98,305,403,79,94,79,51,204,522,F,3,1.54901960784,1.0,0.0214646464646
Andrew Harrison,PG,22,MEM,72,18,1474,117,360,0.325,43,156,0.276,74,204,0.363,0.385,148,194,0.763,23,113,136,198,53,21,85,194,425,G,1,2.32941176471,0.291666666667,0.0576662143826
Andrew Nicholson,PF,27,TOT,38,0,342,43,111,0.387,5,27,0.185,38,84,0.452,0.41,9,14,0.643,15,46,61,10,16,6,17,55,100,F,4,0.588235294118,0.157894736842,0.0497076023392
Andrew Wiggins,SF,21,MIN,82,82,3048,709,1570,0.452,103,289,0.356,606,1281,0.473,0.484,412,542,0.76,102,226,328,189,82,30,187,183,1933,F,3,1.01069518717,0.365853658537,0.0613517060367
Anthony Davis,C,23,NOP,75,75,2708,770,1526,0.505,40,134,0.299,730,1392,0.524,0.518,519,647,0.802,172,712,884,157,94,167,181,168,2099,C,5,0.867403314917,2.22666666667,0.0668389955687
Anthony Morrow,SG,31,TOT,49,7,714,98,252,0.389,41,133,0.308,57,119,0.479,0.47,34,37,0.919,12,19,31,25,24,2,6,44,271,G,2,4.16666666667,0.0408163265306,0.00840336134454
Anthony Tolliver,PF,31,SAC,65,9,1477,155,351,0.442,90,230,0.391,65,121,0.537,0.57,61,82,0.744,51,186,237,77,34,20,56,109,461,F,4,1.375,0.307692307692,0.0379146919431
Aron Baynes,C,30,DET,75,2,1163,143,279,0.513,0,0,,143,279,0.513,0.513,79,94,0.84,111,222,333,32,17,39,50,166,365,C,5,0.64,0.52,0.0429922613929
Arron Afflalo,SG,31,SAC,61,45,1580,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,6,42,104,515,G,2,1.85714285714,0.0983606557377,0.026582278481
Austin Rivers,SG,24,LAC,74,29,2054,323,731,0.442,111,299,0.371,212,432,0.491,0.518,132,191,0.691,20,141,161,204,48,10,115,187,889,G,2,1.77391304348,0.135135135135,0.055988315482
Avery Bradley,SG,26,BOS,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,122,68,11,88,141,894,G,2,1.38636363636,0.2,0.0479564032698
Ben McLemore,SG,23,SAC,61,26,1176,180,419,0.43,65,170,0.382,115,249,0.462,0.507,70,93,0.753,19,110,129,51,29,6,62,108,495,G,2,0.822580645161,0.0983606557377,0.0527210884354
Beno Udrih,PG,34,DET,39,0,560,92,197,0.467,11,32,0.344,81,165,0.491,0.495,32,34,0.941,6,51,57,131,13,0,36,29,227,G,1,3.63888888889,0.0,0.0642857142857
Bismack Biyombo,C,24,ORL,81,27,1793,179,339,0.528,0,0,,179,339,0.528,0.528,125,234,0.534,157,410,567,74,25,91,95,202,483,C,5,0.778947368421,1.12345679012,0.05298382599
Blake Griffin,PF,27,LAC,61,61,2076,479,971,0.493,38,113,0.336,441,858,0.514,0.513,320,421,0.76,112,385,497,300,57,22,142,157,1316,F,4,2.11267605634,0.360655737705,0.0684007707129
Boban Marjanovic,C,28,DET,35,0,293,72,132,0.545,0,0,,72,132,0.545,0.545,47,58,0.81,46,84,130,9,6,12,10,25,191,C,5,0.9,0.342857142857,0.0341296928328
Bobby Portis,PF,21,CHI,64,13,1000,183,375,0.488,32,96,0.333,151,279,0.541,0.531,39,59,0.661,75,221,296,35,16,11,37,94,437,F,4,0.945945945946,0.171875,0.037
Bojan Bogdanovic,SF,27,TOT,81,54,2083,376,845,0.445,144,392,0.367,232,453,0.512,0.53,217,243,0.893,37,240,277,111,34,7,131,146,1113,F,3,0.847328244275,0.0864197530864,0.06289006241
Boris Diaw,PF,34,UTA,73,33,1283,146,327,0.446,20,81,0.247,126,246,0.512,0.477,26,35,0.743,46,112,158,170,18,9,87,83,338,F,4,1.95402298851,0.123287671233,0.0678098207327
Bradley Beal,SG,23,WAS,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779,G,2,1.71153846154,0.272727272727,0.0581222056632
Brandon Bass,PF,31,LAC,52,0,577,107,186,0.575,1,3,0.333,106,183,0.579,0.578,77,88,0.875,43,86,129,21,14,11,29,45,292,F,4,0.724137931034,0.211538461538,0.050259965338
Brandon Ingram,SF,19,LAL,79,40,2279,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,256,316,166,50,36,116,158,740,F,3,1.43103448276,0.455696202532,0.0508995173322
Brandon Jennings,PG,27,TOT,81,13,1802,192,535,0.359,79,252,0.313,113,283,0.399,0.433,114,152,0.75,29,167,196,395,70,4,128,116,577,G,1,3.0859375,0.0493827160494,0.0710321864595
Brandon Knight,SG,25,PHO,54,5,1140,209,525,0.398,45,139,0.324,164,386,0.425,0.441,132,154,0.857,25,93,118,130,27,5,88,87,595,G,2,1.47727272727,0.0925925925926,0.0771929824561
Brandon Rush,SG,31,MIN,47,33,1030,70,187,0.374,44,114,0.386,26,73,0.356,0.492,13,18,0.722,16,83,99,45,22,23,28,42,197,G,2,1.60714285714,0.489361702128,0.0271844660194
Brian Roberts,PG,31,CHO,41,2,416,46,122,0.377,17,44,0.386,29,78,0.372,0.447,33,39,0.846,5,34,39,52,9,1,26,18,142,G,1,2.0,0.0243902439024,0.0625
Brook Lopez,C,28,BRK,75,75,2222,555,1172,0.474,134,387,0.346,421,785,0.536,0.531,295,364,0.81,121,282,403,176,38,124,184,192,1539,C,5,0.95652173913,1.65333333333,0.0828082808281
Bryn Forbes,SG,23,SAS,36,0,285,36,99,0.364,17,53,0.321,19,46,0.413,0.449,5,6,0.833,2,21,23,23,1,0,11,20,94,G,2,2.09090909091,0.0,0.0385964912281
Buddy Hield,SG,23,TOT,82,55,1888,327,767,0.426,148,379,0.391,179,388,0.461,0.523,64,76,0.842,35,234,269,121,38,9,101,115,866,G,2,1.19801980198,0.109756097561,0.0534957627119
C.J. McCollum,SG,25,POR,80,80,2796,692,1441,0.48,185,439,0.421,507,1002,0.506,0.544,268,294,0.912,60,229,289,285,72,42,172,202,1837,G,2,1.65697674419,0.525,0.0615164520744
C.J. Miles,SF,29,IND,76,29,1776,281,647,0.434,169,409,0.413,112,238,0.471,0.565,84,93,0.903,30,199,229,48,46,25,40,151,815,F,3,1.2,0.328947368421,0.0225225225225
C.J. Watson,PG,32,ORL,62,9,1012,96,248,0.387,32,105,0.305,64,143,0.448,0.452,57,66,0.864,16,73,89,114,43,2,47,84,281,G,1,2.42553191489,0.0322580645161,0.046442687747
Cameron Payne,PG,22,TOT,31,0,462,64,193,0.332,27,86,0.314,37,107,0.346,0.402,5,8,0.625,3,45,48,55,14,4,29,52,160,G,1,1.89655172414,0.129032258065,0.0627705627706
Caris LeVert,SF,22,BRK,57,26,1237,171,380,0.45,59,184,0.321,112,196,0.571,0.528,67,93,0.72,23,165,188,110,49,8,59,91,468,F,3,1.86440677966,0.140350877193,0.0476960388036
Carmelo Anthony,SF,32,NYK,74,74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,376,438,213,60,34,153,198,1659,F,3,1.39215686275,0.459459459459,0.0602836879433
Chandler Parsons,SF,28,MEM,34,34,675,75,222,0.338,25,93,0.269,50,129,0.388,0.394,35,43,0.814,6,78,84,55,20,5,24,52,210,F,3,2.29166666667,0.147058823529,0.0355555555556
Channing Frye,C,33,CLE,74,15,1398,238,520,0.458,137,335,0.409,101,185,0.546,0.589,63,74,0.851,37,253,290,45,33,37,53,138,676,C,5,0.849056603774,0.5,0.0379113018598
Chris Paul,PG,31,LAC,61,61,1921,374,785,0.476,124,302,0.411,250,483,0.518,0.555,232,260,0.892,40,264,304,563,119,8,147,146,1104,G,1,3.82993197279,0.131147540984,0.076522644456
Clint Capela,C,22,HOU,65,59,1551,362,563,0.643,0,0,,362,563,0.643,0.643,94,177,0.531,178,348,526,63,34,79,87,179,818,C,5,0.724137931034,1.21538461538,0.0560928433269
Cody Zeller,PF,24,CHO,62,58,1725,253,443,0.571,0,1,0.0,253,442,0.572,0.571,133,196,0.679,135,270,405,99,62,58,65,189,639,F,4,1.52307692308,0.935483870968,0.0376811594203
Cole Aldrich,C,28,MIN,62,0,531,45,86,0.523,0,0,,45,86,0.523,0.523,15,22,0.682,51,107,158,25,25,23,17,85,105,C,5,1.47058823529,0.370967741935,0.0320150659134
Corey Brewer,SF,30,TOT,82,11,1281,147,348,0.422,27,118,0.229,120,230,0.522,0.461,50,68,0.735,32,134,166,97,61,20,55,133,371,F,3,1.76363636364,0.243902439024,0.0429352068696
Cory Joseph,PG,25,TOR,80,22,2003,299,661,0.452,48,135,0.356,251,526,0.477,0.489,94,122,0.77,51,184,235,265,66,13,108,140,740,G,1,2.4537037037,0.1625,0.053919121318
Courtney Lee,SG,31,NYK,77,74,2459,321,704,0.456,108,269,0.401,213,435,0.49,0.533,85,98,0.867,53,206,259,179,81,24,69,141,835,G,2,2.59420289855,0.311688311688,0.0280601870679
Cristiano Felicio,C,24,CHI,66,0,1040,128,221,0.579,0,0,,128,221,0.579,0.579,60,93,0.645,124,187,311,40,25,17,33,110,316,C,5,1.21212121212,0.257575757576,0.0317307692308
D.J. Augustin,PG,29,ORL,78,20,1538,195,517,0.377,95,274,0.347,100,243,0.412,0.469,131,161,0.814,15,102,117,209,31,1,90,101,616,G,1,2.32222222222,0.0128205128205,0.0585175552666
Damian Lillard,PG,26,POR,75,75,2694,661,1488,0.444,214,579,0.37,447,909,0.492,0.516,488,545,0.895,46,322,368,440,68,20,197,152,2024,G,1,2.23350253807,0.266666666667,0.0731254639941
Damjan Rudez,SF,30,ORL,45,0,314,31,88,0.352,20,64,0.313,11,24,0.458,0.466,0,0,,5,20,25,20,12,1,9,31,82,F,3,2.22222222222,0.0222222222222,0.0286624203822
D'Angelo Russell,PG,20,LAL,63,60,1811,351,867,0.405,135,384,0.352,216,483,0.447,0.483,147,188,0.782,31,190,221,303,87,16,176,130,984,G,1,1.72159090909,0.253968253968,0.0971838763114
Danilo Gallinari,SF,28,DEN,63,63,2134,335,750,0.447,126,324,0.389,209,426,0.491,0.531,349,387,0.902,39,286,325,135,40,15,82,93,1145,F,3,1.64634146341,0.238095238095,0.0384254920337
Danny Green,SG,29,SAS,68,68,1807,176,449,0.392,118,311,0.379,58,138,0.42,0.523,27,32,0.844,31,193,224,124,70,57,76,120,497,G,2,1.63157894737,0.838235294118,0.0420586607637
Dante Cunningham,SF,29,NOP,66,35,1649,174,359,0.485,71,181,0.392,103,178,0.579,0.584,16,27,0.593,56,221,277,37,39,28,28,100,435,F,3,1.32142857143,0.424242424242,0.0169799878714
Dante Exum,PG,21,UTA,66,26,1228,155,363,0.427,44,149,0.295,111,214,0.519,0.488,58,73,0.795,30,102,132,111,21,12,80,146,412,G,1,1.3875,0.181818181818,0.0651465798046
Dario Saric,PF,22,PHI,81,36,2129,381,927,0.411,106,341,0.311,275,586,0.469,0.468,172,220,0.782,112,401,513,182,57,30,183,162,1040,F,4,0.994535519126,0.37037037037,0.0859558478159
Darrell Arthur,PF,28,DEN,41,7,639,95,215,0.442,53,117,0.453,42,98,0.429,0.565,19,22,0.864,25,87,112,42,19,21,36,76,262,F,4,1.16666666667,0.512195121951,0.056338028169
Darren Collison,PG,29,SAC,68,64,2063,340,714,0.476,73,175,0.417,267,539,0.495,0.527,147,171,0.86,23,129,152,312,67,9,114,119,900,G,1,2.73684210526,0.132352941176,0.0552593310713
Darrun Hilliard,SG,23,DET,39,1,381,47,126,0.373,12,46,0.261,35,80,0.438,0.421,21,28,0.75,2,31,33,33,11,2,28,39,127,G,2,1.17857142857,0.0512820512821,0.0734908136483
David Lee,PF,33,SAS,79,10,1477,248,420,0.59,0,0,,248,420,0.59,0.59,80,113,0.708,149,292,441,124,31,40,82,125,576,F,4,1.51219512195,0.506329113924,0.0555179417739
David West,C,36,GSW,68,0,854,135,252,0.536,3,8,0.375,132,244,0.541,0.542,43,56,0.768,47,156,203,151,42,48,78,105,316,C,5,1.9358974359,0.705882352941,0.0913348946136
Davis Bertans,PF,24,SAS,67,6,808,103,234,0.44,69,173,0.399,34,61,0.557,0.588,28,34,0.824,22,76,98,46,20,28,32,75,303,F,4,1.4375,0.417910447761,0.039603960396
DeAndre' Bembry,SF,22,ATL,38,1,371,47,98,0.48,1,18,0.056,46,80,0.575,0.485,6,16,0.375,14,45,59,28,8,5,16,21,101,F,3,1.75,0.131578947368,0.0431266846361
DeAndre Jordan,C,28,LAC,81,81,2570,412,577,0.714,0,2,0.0,412,575,0.717,0.714,205,425,0.482,298,816,1114,96,51,134,115,212,1029,C,5,0.834782608696,1.65432098765,0.0447470817121
DeAndre Liggins,SG,28,TOT,62,19,777,55,142,0.387,17,46,0.37,38,96,0.396,0.447,25,40,0.625,20,88,108,54,47,14,42,81,152,G,2,1.28571428571,0.225806451613,0.0540540540541
Dejounte Murray,PG,20,SAS,38,8,322,50,116,0.431,9,23,0.391,41,93,0.441,0.47,21,30,0.7,6,36,42,48,8,6,38,29,130,G,1,1.26315789474,0.157894736842,0.11801242236
DeMar DeRozan,SG,27,TOR,74,74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020,G,2,1.61111111111,0.175675675676,0.0687022900763
DeMarcus Cousins,C,26,TOT,72,72,2465,647,1432,0.452,131,363,0.361,516,1069,0.483,0.498,517,670,0.772,152,642,794,332,100,93,269,278,1942,C,5,1.23420074349,1.29166666667,0.109127789047
DeMarre Carroll,SF,30,TOR,72,72,1882,220,550,0.4,109,320,0.341,111,230,0.483,0.499,89,117,0.761,63,212,275,74,81,27,54,143,638,F,3,1.37037037037,0.375,0.028692879915
Dennis Schroder,PG,23,ATL,79,78,2485,548,1214,0.451,100,294,0.34,448,920,0.487,0.493,218,255,0.855,42,206,248,499,74,16,258,149,1414,G,1,1.93410852713,0.20253164557,0.103822937626
Denzel Valentine,SG,23,CHI,57,0,976,102,288,0.354,73,208,0.351,29,80,0.363,0.481,14,18,0.778,11,140,151,63,30,7,49,86,291,G,2,1.28571428571,0.122807017544,0.0502049180328
Deron Williams,PG,32,TOT,64,44,1657,263,600,0.438,85,234,0.363,178,366,0.486,0.509,90,109,0.826,14,133,147,360,31,8,138,138,701,G,1,2.60869565217,0.125,0.0832830416415
Derrick Favors,PF,25,UTA,50,39,1186,203,417,0.487,3,10,0.3,200,407,0.491,0.49,67,109,0.615,92,213,305,56,45,40,60,103,476,F,4,0.933333333333,0.8,0.0505902192243
Derrick Jones,SF,19,PHO,32,8,545,68,121,0.562,3,11,0.273,65,110,0.591,0.574,29,41,0.707,39,40,79,12,14,13,13,63,168,F,3,0.923076923077,0.40625,0.0238532110092
Derrick Rose,PG,28,NYK,64,64,2082,460,977,0.471,13,60,0.217,447,917,0.487,0.477,221,253,0.874,66,180,246,283,44,17,147,84,1154,G,1,1.92517006803,0.265625,0.0706051873199
Derrick Williams,PF,25,TOT,50,11,804,108,244,0.443,30,97,0.309,78,147,0.531,0.504,58,89,0.652,19,111,130,28,14,7,28,60,304,F,4,1.0,0.14,0.0348258706468
Devin Booker,SG,20,PHO,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726,G,2,1.11203319502,0.269230769231,0.0882783882784
Devin Harris,PG,33,DAL,65,0,1087,136,341,0.399,58,177,0.328,78,164,0.476,0.484,107,129,0.829,11,116,127,136,43,7,57,101,437,G,1,2.38596491228,0.107692307692,0.0524379024839
Dewayne Dedmon,C,27,SAS,76,37,1330,161,259,0.622,0,0,,161,259,0.622,0.622,65,93,0.699,129,367,496,44,37,61,61,180,387,C,5,0.72131147541,0.802631578947,0.0458646616541
Deyonta Davis,C,20,MEM,36,0,238,24,47,0.511,0,0,,24,47,0.511,0.511,10,18,0.556,20,40,60,2,3,17,8,40,58,C,5,0.25,0.472222222222,0.0336134453782
Dion Waiters,SG,25,MIA,46,43,1384,281,663,0.424,85,215,0.395,196,448,0.438,0.488,82,127,0.646,18,135,153,200,42,20,103,95,729,G,2,1.94174757282,0.434782608696,0.0744219653179
Dirk Nowitzki,PF,38,DAL,54,54,1424,296,678,0.437,79,209,0.378,217,469,0.463,0.495,98,112,0.875,23,330,353,82,30,38,51,113,769,F,4,1.60784313725,0.703703703704,0.0358146067416
