,Company Name,Job Description,Job Title,Location,Salary
0,"


    BOEING
","
Skilled scientists and thinkers. Extracts and analyzes data from multiple sources; A minimum of 1 year experience analyzing data and metrics to identify trends...","
Procurement Analyst, Entry Level
",Albuquerque,
1,"


    Presbyterian Healthcare Services
","
Understanding of extract transform and loading (ETL), data cleaning, data normalization/mapping and business process management (BPM) is expected....","
LEAD SCIENTIST
",Albuquerque,
2,"


    Ball Aerospace
","
Develop software or scripts to process data; Or analysis scripts (e.g., MATLAB) to analyze and present data....","
Research Analyst I
",Albuquerque,
3,"


    Presbyterian Healthcare Services
","
Add in Albuquerque’s International Balloon Fiesta, Los Alamos’ nuclear scientists, Roswell’s visitors from outer space, and Santa Fe’s artists, and you get an...","
APPLICATION PROGRAMMER INTERMEDIATE - IT ENTERPRISE DATA WAR...
",Albuquerque,
4,"

    Indica Labs
","
Prepare study reports for client and present results, data, and findings. Conduct image analysis study including slide-scanning, image analysis, and data...","
Image Analyst – Albuquerque/Corrales, NM, USA
",Albuquerque,
5,"


    Presbyterian Healthcare Services
","
Add in Albuquerque’s International Balloon Fiesta, Los Alamos’ nuclear scientists, Roswell’s visitors from outer space, and....","
MANAGER HIM RELEASE OF INFORMATION
",Albuquerque,
6,"


    Presbyterian Healthcare Services
","
Understanding of extract transform and loading (ETL), data cleaning, data normalization/mapping and business process management (BPM) is expected....","
MANAGER - R&D/ANALYTICS SERVICES
",Albuquerque,
7,"


    HID Global
","
Strong background in mathematics including statistics for data analysis. Analyze biometric data to quantify performance and understand sources of error....","
Image Scientist (HID3186)
",Albuquerque,
8,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
MEDICAL GROUP FRONT OFFICE SPECIALIST - OB / GYN
",Albuquerque,
10,"


    Presbyterian Healthcare Services
","
Act as a data steward maintaining and ensuring data integrity by notifying manager of any potential data issues and correcting problems within purview....","
COST ACCOUNTANT ANALYST - PDS INFORMATICS
",Albuquerque,
11,"


    Ball Aerospace
","
Develop and implement data reduction and analysis plans to translate data into relevant information. Senior Research and Development Scientist....","
Research & Development Scientist-Senior (660734)
",Albuquerque,
12,"


    HID Global
","
Data languages such as XML. Assist R&D with data collection and product qualification studies. Excel in a cross functional team consisting of Scientists,...","
Software Engineer Biometrics (HID3338)
",Albuquerque,
13,"


    Sandia National Laboratories
","
We are seeking a uniquely qualified interdisciplinary scientist to conduct research in the area of synthetic biology as applied to a variety engineering systems...","
R&D S&E, Biological Science (Experienced)
",Albuquerque,
14,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
LOGISTICS TECH - ALBUQUERQUE AMBULANCE
",Albuquerque,
15,"


    Lovelace Respiratory Research Institute
","
Other duties include but are not limited to performing clinical assessments in incarcerated populations, literature analyses, setting and implementing timelines...","
Postdoctoral Fellow
",Albuquerque,
16,"


    Presbyterian Healthcare Services
","
Compliance support and data abstraction assistance for Clinical Measures. Participates in both retrospective and concurrent data collection needs as assigned....","
QUALITY CLINICAL REVIEWER - QUALITY INSTITUTE
",Albuquerque,
19,"


    KBRWyle
","
Develop processes to ensure the highest quality of data. Collaborate with engineers, technicians, and other scientists as a technical consultant or subject...","
Chem/Bio Scientist
",Albuquerque,
20,"


    Ball Aerospace
","
Research Principal Scientist. We seek an established scientist to contribute to our research investigations associated with high-powered laser technology....","
Research Principal Scientist (660498)
",Albuquerque,
22,"


    Presbyterian Healthcare Services
","
Obtain data, direct/execute reporting/analysis, perform interpretations and conclusions, and prepare recommendations....","
BUSINESS ANALYTICS CONSULTANT - PDS INFORMATICS
",Albuquerque,
23,"

    INTERA
","
Analyzing aerial photographs, well logs, and other data sources. Reviewing reports and research done by other scientists and engineers....","
Water Resources Professional
",Albuquerque,
24,"


    Lovelace Respiratory Research Institute
","
Expertise in research design and statistical analysis of longitudinal outcomes data is highly desirable....","
Postdoctoral Fellow - Kiehl
",Albuquerque,
25,"


    Sandia National Laboratories
","
Be able to contribute to research and development in areas such micro-services architectures, human computer interaction (HCI), big data problem space, data and...","
R&D, Computer Science (Experienced)
",Albuquerque,
26,"

    Indica Labs
","
Communicate with application scientists to derive requirements and convert those into beautiful code. The candidate selected for this position will primarily...","
Software Engineer II – Albuquerque/Corrales, NM, USA
",Albuquerque,
27,"


    Raytheon
","
Control and data acquisition systems; This position requires frequent interaction and coordination with electrical engineers, mechanical engineers, scientists,...","
Sr Mechanical Engineer I
",Albuquerque,
28,"


    LinQuest
","
Support detailed planning, instrumentation/data collection, and analysis of test data. Support JNWC assessments and tests to plan and report on critical issues....","
JNWC Operations Research Analyst - Mid
",Albuquerque,
29,"


    Ball Aerospace
","
Develop assessment or analyses methodologies, usually anchored to empirical data and theory, in a coordinated fashion with collaborating theorists,...","
Modeling Simulation & Analysis (MSA) Group Lead (660436)
",Albuquerque,
31,"


    Sandia National Laboratories
","
We are seeking a creative, motivated engineer/analyst/computer scientist interested in joining the B61-12 surveillance team....","
R&D Surveillance Systems Engineer (Experienced)
",Albuquerque,
32,"


    Sandia National Laboratories
","
We are seeking a R&D Computer Scientist. Contribute to deeply rewarding missions through engagement with diverse computer science specialties and specialists in...","
R&D Computer Scientist C++, Java (Early/Mid-Career)
",Albuquerque,
33,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
DIET AIDE II - PART TIME (.5 FTE) - VARIED
",Albuquerque,
34,"


    Sandia National Laboratories
","
We are seeking a Postdoctoral Scientist to work on projects focused on synthetic biology or protein evolution approaches....","
Postdoctoral Appointee
",Albuquerque,
35,"


    Ball Aerospace
","
Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....","
Laser Engineer I (659993)
",Albuquerque,
39,"


    Ball Aerospace
","
Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....","
Laser Research Engineer II (659646)
",Albuquerque,
40,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
STERL PROC TECH I - FULL TIME - WEEKDAYS
",Albuquerque,
